property_en,property_zh,Unnamed: 2,分组,Fe,Ni,Mn,Al,Cr,Cu,Co,Mo,Ti,Nb,Ta,W,V,Zr,Hf,reference_id,reference_url_or_citation
Relative Atomic Mass [1],Relative Atomic Mass[1],已验证,P4,55.845,58.6934,54.938044,26.9815385,51.9961,63.546,58.933194,95.95,47.867,92.90637,180.94788,183.84,50.9415,91.224,178.49,22,"Little E J, Jones M M. A complete table of electronegativities[J]. Journal of Chemical Education, 1960, 37(5): 231."
Molar volume/ cm3×10^-6 [12],摩尔体积/×10-6[1],,P5,7.09,6.59,7.35,10,7.23,7.11,6.67,9.38,10.64,10.83,10.85,9.47,8.32,14.02,13.44,23,"Atomic ionization energies[DB/OL]. LibreTexts Chemistry, 2024. https://chem.libretexts.org/Ancillary_Materials/Reference/Reference_Tables/Atomic_and_Molecular_Properties/A6%3A_Atomic_Ionization_Energies"
Density/ g×cm^-3 [1],Density/ g/cm3[1],,P6,7.874,8.908,7.47,2.7,7.19,8.96,8.9,10.28,4.507,8.57,16.65,19.25,6.11,6.511,13.31,24," Starodubtsev Y N, Tsepelev V S. Analysis of surface tension and viscosity of liquid metals[J]. Metallurgical and Materials Transactions B, 2021, 52(3): 1886-1890."
Poisson ratio [1] [9],泊松比[1],,P7,0.29,0.31,0.269230769230769,0.35,0.21,0.34,0.31,0.31,0.32,0.4,0.34,0.28,0.37,0.34,0.37,25,"Battezzati L, Greer A L. The viscosity of liquid metals and alloys[J]. Acta Metallurgica, 1989, 37(7): 1791-1802."
Static dipole polarizabilities [8],极化性https://www.tandfonline.com/doi/full/10.1080/00268976.2018.1535143,,P8,8.4,9.4,6.8,6.8,11.6,6.15,7.5,12.8,14.6,15.7,13.1,11.1,12.4,17.9,16.2,26,"BREWER L. Cohesive energies of the elements[R]. Berkeley: Lawrence Berkeley Laboratory, 1975. DOI:10.2172/7187973."
Specific heat capacity/J/(kg·K)[1],Specific heat比热容【1】J/(kg·K),已验证，但需要修改计算,P9,449,445,479,904,448,384.4,421,251,520,265,140,132,489,278,144,27, A.G. Lipnitskii & V.N. Saveliev.   “Development of n-body expansion interatomic potentials and its application for V”. Computational Materials Science 121 (2016) 67–78
Brinell Hardness/Mpa[1],布氏硬度/Mpa【1】,,P10,490,700,196,245,1120,874,700,1500,715,736,800,2570,628,650,1700,,"R. Hultgren, P. D. Desai, D. T. Hawkins, M. Gleiser, K. K. Kelley, D. D. Wagman, Selected Values of the Thermodynamic Properties of the Elemts, American Society for Metals, Metals Park, OH, 1973, 636 pp."
Thermal ConductivityW/(m·K)[1],导热性W/(m K)【1】,,P11,79,91,7.7,235,94,400,100,139,22,54,57,170,31,23,23,28,"NIST Chemistry WebBook, NIST Standard Reference Database Number 69,  https://webbook.nist.gov (accessed 2026-07-15)"
Electrical Conductivity/10^6s/m[1],导电性10^6s/m[1],,P12,10,14,0.62,38,7.9,59,17,20,2.5,6.7,7.7,20,5,2.4,3.3,,
0 K Shear modulus/Gpa [13],0K剪切模量,,P13,93.21,100.841526,85.01,29.448,123.3422,59.314,81.2,130.4,48.32,40.4,73.8,177.8,51.4,33.612338,59.12,,
Viscosity of Liquid metals /mPa·s [24]【25】,熔点处动态粘度mpas,,P14,5.61,4.7,4.99,1.3,5.7,4.39,5.4,5.6,4.42,4.5,8.59,7,2.39,4.59,5.1,,
"Metallic radius/(Waber, Å )[3]",原子半径100pm/埃（金属半径(Waber) ）[3],,S1,1.241,1.246,1.35,1.432,1.249,1.276,1.251,1.363,1.462,1.429,1.43,1.367,1.316,1.6025,1.5775,,
Covalent Radius/( Å )[1],Atomic Radius[1],,S2,1.32,1.24,1.39,1.21,1.39,1.32,1.26,1.54,1.6,1.64,1.7,1.62,1.53,1.75,1.75,,
Atomic Radius/( Å )[1],Covalent Radius[1],,S3,1.56,1.49,1.61,1.18,1.66,1.45,1.52,1.9,1.76,1.98,2,1.93,1.71,2.06,2.08,,
Atomic volume/ cm3×10-6 [1],体积,,S4,8.00578543679166,8.1029419734921,10.3059945243,12.3003552842352,8.16161147919088,8.70243173183005,8.20088139506846,10.6065994751807,13.0897309417942,12.2232104243142,12.2488894294243,10.7002554441555,9.54676582390284,17.644371040004,17.1572843861333,,
"Lattice constant (BCC, Å)[1]",BCC晶格常数,,S5,2.822,2.799,2.792,3.244,2.847,2.866,2.809,3.178,3.241,3.322,3.32,3.19,2.992,3.574,3.538,,
Melting temperature (K)[2],"Melting temperature, (Tmi), K[2]",,T1,1811,1728,1519,933.47,2180,1357.77,1768,2896,1941,2750,3290,3695,2183,2128,2506,,
Boiling Temperature (K)[2],Boiling TemperatureK[2],,T2,3134,3186,2334,2792,2944,2835,3200,4912,3560,5017,5731,5828,3680,4682,4876,,
Heat of Vaporization/ev[1],Heat of Vaporization[1]/ev,,T3,3.59641395035498,3.91770741566046,2.28014717313572,3.03674146240348,3.5134995076955,3.10929159973053,3.59641395035498,6.21858319946106,4.40482976628491,7.15137067938021,7.62812872467223,8.29144426594807,4.6950303155931,6.01129709281235,6.52951235943411,,
Heat Fusion/ev[1],Heat Fusion/ev[1],,T4,0.143027413587604,0.178266051717884,0.136808830388143,0.110898067057055,0.212468259314919,0.1357723998549,0.167901746385448,0.373114991967663,0.193812509716536,0.277763382909261,0.373114991967663,0.362750686635228,0.23630616157952,0.217650411981137,0.264289785977095,,
Enthalpy of atomisation/kcal/mol [28],Enthalpy of atomisation[2]/ev,,T5,4.306043,4.45788,2.935783,3.4171,4.11959,3.498977,4.422227,6.829846,4.908829,7.597424,8.104755,8.820304,5.34247,6.322515,6.409264,,
Cohesive energy /kcal.mol-1 [26],结合能（与熔点相关），与升华热相关千卡/摩尔,,T6,98.7,102.4,67.4,78.1,94.5,80.4,101.3,157.2,111.8,174.5,186.9,205.2,122.4,144.2,148.4,,
Vacancy migration energy/ ev [12],Em,ev,T7,0.88,1.21,0.43,0.65,0.68,0.9,1.02,1.31,0.49,0.99,1.32,2.07,0.49,0.57,0.89,,
Vacancy formation energy/ ev [15][27],Ev-Vacancy formation energy (ev)[5],,T8,1.76,1.41,0.936000449280216,0.76,1.8,1.11,1.25,2.67,1.56,2.4,2.88,3.22,2.15,1.77,1.87,,
